Matthew 1.1 (ODRV),ODRV,New Testament,Matthew,1,1,"THE booke of the generation of IESVS Christ, the sonne of David, the sonne of Abraham."
Matthew 1.2 (ODRV),ODRV,New Testament,Matthew,1,2,"Abraham begat Isaac, And Isaac begat Iacob. And Iacob begat Iudas and his brethren:"
Matthew 1.3 (ODRV),ODRV,New Testament,Matthew,1,3,And Iudas begat Phares and Zaram of Thamar. And Phares begat Esron. And Esron begat Aram.
Matthew 1.4 (ODRV),ODRV,New Testament,Matthew,1,4,And Aram begat Aminadab. And Aminadab begat Naasson. And Naasson begat Salmon.
Matthew 1.5 (ODRV),ODRV,New Testament,Matthew,1,5,And Salmon begat Booz of Raab. And Booz begat Obed of Ruth. And Obed begat Iesse.
Matthew 1.6 (ODRV),ODRV,New Testament,Matthew,1,6,And Iesse begat Dauid the King. And Dauid the King begat Salomon of her that was the wife of Vrias.
Matthew 1.7 (ODRV),ODRV,New Testament,Matthew,1,7,And Salomon begat Roboam. And Roboam begat Abia. And Abia begat Asa.
Matthew 1.8 (ODRV),ODRV,New Testament,Matthew,1,8,And Asa begat Iosaphat. And Iosaphat begat Ioram. And Ioram begat Ozias.
Matthew 1.9 (ODRV),ODRV,New Testament,Matthew,1,9,And Ozias begat Ioatham. And Ioatham begat Achaz. And Achaz begat Ezechias.
Matthew 1.10 (ODRV),ODRV,New Testament,Matthew,1,10,And Ezekias begat Manasses. And Manasses begat Amon. And Amon begat Iosias.
Matthew 1.11 (ODRV),ODRV,New Testament,Matthew,1,11,And Iosias begat Iechonias and his brethren in the Transmigration of Babylon.
Matthew 1.12 (ODRV),ODRV,New Testament,Matthew,1,12,"And after the Transmigration of Babylon, Iochanias begat Salathiel. And Salathiel begat Zorobabel."
Matthew 1.13 (ODRV),ODRV,New Testament,Matthew,1,13,And Zorobabel begat Abiud. And Abiud begat Eliacim. And Eliacim begat Azor.
Matthew 1.14 (ODRV),ODRV,New Testament,Matthew,1,14,And Azor begat Sadoc. And Sadoc begat Achim. And Achim begat Eliud.
Matthew 1.15 (ODRV),ODRV,New Testament,Matthew,1,15,And Eliud begat Eleazar. And Eleazar begat Mathan. And Mathan begat Iacob.
Matthew 1.16 (ODRV),ODRV,New Testament,Matthew,1,16,"And Iacob begat Ioseph the husband of MARIE: of whom was born IESVS, who is called CHRIST."
Matthew 1.17 (ODRV),ODRV,New Testament,Matthew,1,17,"Therefore al the Generations from Abraham vnto David, fourteen Generations. And from David to the Transmigration of Babylon, fourteen Generations. And from the Transmigration of Babylon vnto Christ, fourteen Generations."
Matthew 1.18 (ODRV),ODRV,New Testament,Matthew,1,18,"And the Generation of Christ was in this wise. When his Mother MARIE was spoused to Ioseph, before they came together, she was found to be with a child, by the Holy Ghost."
Matthew 1.19 (ODRV),ODRV,New Testament,Matthew,1,19,"Whereupon Ioseph her husband for that he was a iust man, & would not put her to open shame: was minded secretly to dimisse her."
Matthew 1.20 (ODRV),ODRV,New Testament,Matthew,1,20,"But as he was thus thinking, behold the Angel of our Lord appeared to him in sleepe saying: Ioseph sonne of Dauid, feare not to take Marie thy wife, for that which is borne in her, is of the Holy Ghost."
Matthew 1.21 (ODRV),ODRV,New Testament,Matthew,1,21,And she shal bring forth a Sonne: and thou shalt cal his name IESVS. For he shal save his people from their sinnes.
Matthew 1.22 (ODRV),ODRV,New Testament,Matthew,1,22,And al this was done that it might be fulfilled which our Lord spake by the Prophet saying.
Matthew 1.23 (ODRV),ODRV,New Testament,Matthew,1,23,"Behold a Virgin shal be with child, & bring forth a Sonne, and they shal cal his name Emmanuel, which being interpreted is, God with vs."
Matthew 1.24 (ODRV),ODRV,New Testament,Matthew,1,24,"And Ioseph rising vp from sleepe, did as the Angel of our Lord commanded him, & tooke his wife."
Matthew 1.25 (ODRV),ODRV,New Testament,Matthew,1,25,And he knew her not til she brought forth her first borne Sonne: & called his name IESVS.
Matthew 2.1 (ODRV),ODRV,New Testament,Matthew,2,1,"WHEN IESVS therefore was borne in Bethlehem of Iuda in the dayes of Herod the King, behold there came Sages from the East to Hierufalem,"
Matthew 2.2 (ODRV),ODRV,New Testament,Matthew,2,2,"Saying, where is he that is borne King of the Iewes? For we haue seen his starre in the East, and are come to adore him."
Matthew 2.3 (ODRV),ODRV,New Testament,Matthew,2,3,"And Herod the King hearing this, was troubled, & al Hierufalem with him."
Matthew 2.4 (ODRV),ODRV,New Testament,Matthew,2,4,"And assembling together al the high Priestes and the Scribes of the people, he inquired of them where Christ should be borne."
Matthew 2.5 (ODRV),ODRV,New Testament,Matthew,2,5,But they sayd to him: In Bethlehem of Iuda. For so it is written by the Prophet:
Matthew 2.6 (ODRV),ODRV,New Testament,Matthew,2,6,And thou Bethlehem the land of Iuda art not the least among the Princes of Iuda: for out of thee shal come forth the Capitaine that shal rule my people Israel.
Matthew 2.7 (ODRV),ODRV,New Testament,Matthew,2,7,"Then Herod secretly caling the Sages, learned diligently of them the time of the starre which appeared to them;"
Matthew 2.8 (ODRV),ODRV,New Testament,Matthew,2,8,"and sending them into Bethlehem, said: Goe, & inquire diligently of the childe; and when you shal finde him, make reporte to me, that I also may come and adore him."
Matthew 2.9 (ODRV),ODRV,New Testament,Matthew,2,9,"Who hauing heard the king, went their way; and behold the starre which they had seen in the East, went before them, vntil it came and flood ouer, where the childe was."
Matthew 2.10 (ODRV),ODRV,New Testament,Matthew,2,10,And seeing the starre they reioyced with exceeding great ioy.
