tcp_id,id,page,p_idx,s_idx,text
A19277,0,3,0,0,"IT hath béene from auncient time receiued, & verie long vsed in the Church of God (right worshipfull & Christian audience) at the Funerals of the godly to haue the worde preached to the people: Not thereby to profite the deade (which no way after life can chaunge this departing state) but by it to instruct the lyuing, (PB_4) that they may learne to die in the Lorde: & so rest from the labour of sinne & hell."
A19277,1,3,0,1,"And why may not the godly preacher, take occasion at funeralls to preach the worde of God Nay: why shoulde they omitte any occasion but rather with Christ & his Apostles waite oportunitie to preach the worde, whensoeuer the people be gathered together So Christ at Ierusalem, Iohn in the wildernesse, (NOTE_3:0_0) & Paul in Mars stréete preached the worde, where & in what place the people were assembled."
A19277,2,3,0,2,"The fathers likewise of the Church, of auncient time, haue at such assemblies, taken occasion to teach the liuing, euen when the funeralles were solemnized ouer the deade."
A19277,3,3,0,3,"Whereby it was, that those men did not only benefit ye Churh, during their liues, but euen their corps (as it were) did afforde a finall benefite to the same, at their departure to the earth."
A19277,4,3,0,4,"And though the Papistes haue abused much this sacred vse, so as, at this day, some vse it & suppose it, rather to benefite the dead, then séeking to profit the liuing thereby: yet is this no reason, why we should abstaine from food, or (PB_5) our parentes shoulde foreslow, to féed vs with the bread of life, bicause ye enemies of God haue abused it."
A19277,5,3,0,5,"Let vs then looke vpon this heauenly bread, which God (in mercie) by ye occasion of this christia corps here present, hath new, in the seruice of mine endeuour, offered vnto you."
A19277,6,3,0,6,"It is a cofortable consolation to ye children of God, spoken, & commanded to be written to them, yt they should not be swallowed vp, in the sorowes of sharpe persecution, & tyrannie of Antichrist: Or be beaten from the anchor of hope in God, whilest they are accursed of ye world: or be driue to dispaire vnder the crosse, by the multitude of afflictios: but should assure theselues, of his loue towards them, & of their estate in him, howsoeuer the malignaunt mindes of wicked men should bend their force against them."
A19277,7,5,0,0,"This scripture compriseth a resolute aunswere, to that often asked matter: namely, who is he that is truly blessed & what it is to bée blessed indéed."
A19277,8,5,0,1,"In answere whereof, the spirite of God obserueth (PB_6) this order."
A19277,9,5,0,2,First he declareth who they bée which be truely blessed.
A19277,10,5,0,3,"Secondly he doth elegantly set downe the condition & state of them, which are so blessed."
A19277,11,6,0,0," (PB_6) Touching the first: Who is blessed he aunswereth, Blessed is he yt hath part in the first resurrection."
A19277,12,6,0,1,"Concerning the seconde: And what is their blessednes He faith, For on such the seconde death shal haue no power: but they shal be ye priestes of God & of Christ, & shall raigne with him 1000 yeares, that is to say, for euer."
A19277,13,6,0,2,"That we may take sufficient profite of this Godly labour, let vs well obserue the text:"
A19277,14,6,1,0,"There hath béene no state so accursed, but the same hath desired to be blessed: Nor any people so sottish, that haue not, in cause of happy desire, sought after felicitie."
A19277,15,6,1,1,"But such as the dispositions of the persons were, such for the most part, was their supposall of felicitie. (NOTE_6:1_0)"
A19277,16,6,1,2,Some sort supposed it an happie thing to bée beautifull & braue. (NOTE_6:1_1)
A19277,17,6,1,3,"Some other déemed happinesse, to consist onely in rule & dignitie: And therefore haue tendered (PB_7) with hazarde, their soules to Hell, atchiuing by wicked practizes some stately seates in earth. (NOTE_6:1_2)"
A19277,18,6,1,4,"Some haue supposed ciuill honestie, to be the habite of true felicitie, & hauing obteined a faire course therein, haue onely rested there, as in the chaire of heauenly happinesse."
A19277,19,6,1,5,"But others more lewde, haue sonke themselues to hell: (NOTE_6:1_3) with gaping after earthly treasure, haue thesaured to themselues in déede, the malediction of God, against the day of wrath."
A19277,20,6,1,6,"Of this sort was that Diues, in the 12 of Luke, & likewise his companion, (NOTE_6:1_4) in the 16 of the same. (NOTE_6:1_5)"
A19277,21,6,1,7,"In whose earthly beatitude, appeare these deadly miseries: Namely, in obtaining riches a greedie desire, & in possessing them, a double mischiefe."
A19277,22,6,1,8,"To themselues, they did abounde in great prodigalitie, but vnto all other they were imprisoned in the déepe dungeon of needlesse nigardie."
A19277,23,6,1,9,"For theselues they gathered still, fared alwaye delicately, aparelled euer costly, stil open harted to their owne delights, but very narrowly chested to al others: which would haue ben resonably satisfied, with ye least part of their superfluous (PB_8) prouision."
A19277,24,6,1,10,"Oh, that ye states of our dayes would looke to this."
A19277,25,6,1,11,"Those Lords these knightes, & you the rich of this age, you suppose it your chiefe happines, to ioyne house to house, & lande to land, bloude to bloud, & thousands to thousands, & yet yee hunger after more."
A19277,26,6,1,12,"But (alas) the most of these doe suppose it, their blessednes, to haue a Rowlande for an Oliuer: To banquet & furfette with Bacchus, & to disporte & sléepe with Venus* To haue store of children, great wealth, sound bodies, stately buildinges, & noble names of the vulgar sorte."
A19277,27,6,1,13,"But beholde, both reason in earth, & tormentes in hell, shall teach you in trueth, that this is rather follie, then true felicitie."
A19277,28,6,1,14,"For if this be true happines, to be frée from al sorts of misery, & to abounde in all sacietie of good things, without appetite of farther or desire of more: howe can you reiecte reason, which telleth you (O earthly happie) yt you are yet in great misery For though in riches, yée surpasse Cresus in carnal venery, Sardanapalus, in delicate disshes, either the Epicure, or Bacchus in conioyned possessions euen (PB_9) Alexander the conqueror: yet your miserable mindes thinke, though we haue much, yet haue we not ynough."
A19277,29,6,1,15,"We are sorie our throtes be no déeper, our bellies no greater, our nights no longer, & our patrimonies no larger."
A19277,30,6,1,16,"For had you wonne the whole world, yet would you couet to haue another, & miserably yée feare the deserued fall of this you haue, which is euermore enuironed with miserable feare & blindnes, with feare to loose that they haue, by sundrie casualties: And so blinde, as not able to beholde the miserie of that ende, which hath none other heauen, then this present earth."
A19277,31,6,1,17,"But (Oh) come, & beholde the state of these blessed that are not godly rich, (O yée sonnes of men) & you shall bée enforced, if you hunger to bée truely blessed, to pray with that holy rich Dauid: (NOTE_6:1_6) Deliuer my soule from the wicked with thy sworde, from men (O Lorde) by thine hande, from men of the worlde, who haue their portion in this life, whose bellyes* thou fillest with thine hidde treasure: their children haue ynough, & leaue the rest of their (PB_10) their substance for their children."
A19277,32,6,1,18,"But I will beholde thy face in righteousnesse, & when I awake, I shall bee satisfied with thine image."
A19277,33,6,1,19,"That is: When I shall arise from the sleepe of naturall death, it shall bée full felicitie to me, that thou in thy mercy (O Lord) hast made mee thy creature, & liuely image, formed by & after thée, in holynesse & righteousnesse, & to enioy the fulnesse of thy face, (NOTE_6:1_7) which is true blessednesse."
A19277,34,10,0,0,"The tormentes of Hell in Diues, might sufficiently teach vs, howe false is the felicitie of earthly beautie, brauerie, dignitie, riches, & greatest glorie: If Christ bée not in them, your ende shall bée wéeping & woe: (NOTE_10:0_0) Hée was braue, but now is ye Godly Lazar beautifull: he was of great possessions, but Lazarus hath the kingdome: (NOTE_10:0_1) He gaped after gold, gay clothes, & delicate fare, but the despised man of God, is truely rich, decked with glory & delicately fed, with the countenance of the Lord."
A19277,35,10,0,1,Diues (supposed rich) is buried in hel.
A19277,36,10,0,2,"And by yt he greatly offended, in that, he is greatly punished: For his tongue is vehemently (PB_11) tormented in ye flame, he cryeth for fauour, but cannot obtain: for hée had no part of ye first resurrectio, (which is true beatitude:) & therefore must he néedes dwell for euer, in the seconde death."
A19277,37,10,0,3,"He would haue his brethre warned, that they dreame not of false felicitie, but the very way to blessednesses, is there taught him ( & also vs) not to bée learned from the deade: (NOTE_10:0_2) but of the liuing Lawe of the Lord."
A19277,38,10,0,4,"They haue Moses & the Prophets, let them heare them. (NOTE_10:0_3)"
A19277,39,10,0,5,"Be afraide ye gallants of the earth, you delicate Nymphes of these deayes (which term it now most delicate to you) iudge your selues, that ye be not iudged of the Lorde. (NOTE_10:0_4)"
A19277,40,10,0,6,Burie not your mindes in fained felicitie: but séeke you after true happinesse.
A19277,41,10,0,7,"If riches, honours, Castels, Lordships, Lands, Reuenues, & wordly goods greatly increase: set not your hearts vpon them."
A19277,42,10,0,8,"Be not locked into the Coffer of thy gold with Diues, but haue a godly liberal hart with Abraha."
A19277,43,10,0,9,"Rather sit at the doore of thy house ready to benefite thy countrie, the hauing many, to runne from al thy homestedes, to lye aloofe to féede thy selfe."
A19277,44,10,0,10,"Haue a Christian (PB_12) eye, to the whéele of false felicitie: For the more swéete shée séemeth, the sharper is her loose & whom she most fauoureth, him maketh she most fottish."
A19277,45,10,0,11,Truely the prosperitie of fooles destroyeth them. (NOTE_10:0_5)
A19277,46,10,0,12,"But if by grace from God, in thy part of the first resurrection, thou withstandest her pleasures, & vngodly desires: (NOTE_10:0_6) thou crownest then thy life with felicitie in him: Which God grant vs for his holy Christs sake."
A19277,47,10,0,13,And thus much of false flattering felicite.
A19277,48,10,0,14,"But yt we may be partakers of this blessednes, approued to vs here, by ye spirite of god, let vs lend our hearts to heare."
A19277,49,10,0,15,"Truely this felicitie is first by the Lorde, diffused to vs, in this life, but possessed by vs more amplie in heauen, at the houre of death, yet neuer fully obtained, till the time héere mentioned for the iust: namely, at the second resurrection: When we shalbe fréed from all woe, & shalbe filled with all fulnesse of ioy, & bée the priestes of God & Christ, to raigne with him a thousand yeare: that is, for euer & euer."
A19277,50,13,0,0,"This text doth first then yeld a resolute answere to this demand, & who are they which be truly blessed Truely saith our text: euen whatsoeuer he, yt hath part in the first resurrection, whether he be king or caytiffe, prince or potentate, preacher or people, rich or poore, he or she, yong or old, one or other."
A19277,51,13,0,1,"Come vp hither ye sons of me, raise vp you your heauy harts: for ye catholik curse of Adams loines, behold an vniuersal beatitude, in our common Christ."
A19277,52,13,0,2,"This absolute happinesse is not shut vp to a few, but as many, as can be partakers of ye first resurrectio: so many (I say) shal be blessed fro ye second death, which is the infernall lake of fire & brimstone."
A19277,53,13,0,3,"But for your better helpe to the comfort of this place, note héere wt mée, two thinges."
A19277,54,13,0,4,The first: what is this first resurrection.
A19277,55,13,0,5,"The seconde, how we may assure our selues to be partakers therof Now we must cosider, our text doth insinuate vnto vs a duple resurrectio: namely, a corporal & a spiritual. (NOTE_13:0_0)"
A19277,56,13,0,6,"The corporal resurrection, is ye supplie of this article: I beleeue the resurrection of the deade, & is common to all: for all fleshe shall die & ryse agayne to iudgemente."
A19277,57,13,0,7,"(PB_14) But the spirituall resurrection, is particular to the sones of God alone, & is called the first, because in this life, his holy spirit doeth kill the members of sinne, to death in vs, & rayseth vs vp togither in Christ, (NOTE_13:0_1) to a newnesse of life."
A19277,58,13,0,8,"But so necessarie a doctrine it is, to bée delyuered vs of either resurrection: that I may not omit, but speake of them both."
A19277,59,13,0,9,"And, as many scriptures doe testifie the first: so it is my purpose to charge your memories but with one: but that so sufficiet, as may alone suffice our purpose at this time, & your vnderstanding of Gods good pleasure, in that iudgement."
A19277,60,13,0,10,"viz. (NOTE_13:0_2) And I sawe a great white throne, & one that sate on it, from whose face fled away both the earth & heauen, & their place was no more founde."
A19277,61,13,0,11,"And I sawe the dead both great & small, stand before God, & the books were opened, & an other booke was opened, which is the booke of life, & the deade were iudged of those things, which were written in the books according to their workes."
